genus	Kingdom	Phylum	Class	Order	Family	mean_rel_abund_pct
g__Clitopilus	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Entolomataceae	8e-04
g__Eidernor	k__Fungi	p__Basidiomycota	c__Exobasidiomycetes	o__Exobasidiales	f__Exobasidiales_fam_Incertae_sedis	8e-04
g__Nigrograna	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Nigrogranaceae	8e-04
g__Arthrocatena	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Capnodiales_fam_Incertae_sedis	6e-04
g__Blastobotrys	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Trichomonascaceae	6e-04
g__Strelitziana	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	6e-04
g__Acrocalymma	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Acrocalymmaceae	5e-04
g__Ceratobasidiaceae_gen_Incertae_sedis	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Ceratobasidiaceae	5e-04
g__Gymnopus	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Omphalotaceae	5e-04
g__Tilletiopsis	k__Fungi	p__Basidiomycota	c__Exobasidiomycetes	o__Entylomatales	f__Entylomataceae	5e-04
g__Xenopyrenochaetopsis	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pyrenochaetopsidaceae	5e-04
g__Jumillera	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Xylariaceae	4e-04
g__Hansfordia	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Hansfordiaceae	3e-04
g__Morus	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Rosales	f__Moraceae	3e-04
g__Humicola	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	2e-04
g__Ustilaginales_gen_Incertae_sedis	k__Fungi	p__Basidiomycota	c__Ustilaginomycetes	o__Ustilaginales	f__Ustilaginales_fam_Incertae_sedis	2e-04
g__Exobasidium	k__Fungi	p__Basidiomycota	c__Exobasidiomycetes	o__Exobasidiales	f__Exobasidiaceae	1e-04
