genus	Kingdom	Phylum	Class	Order	Family	mean_rel_abund_pct
g__Amorocoelophoma	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Amorosiaceae	4e-04
g__Amphibambusa	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Cainiaceae	4e-04
g__Aporpium	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__Aporpiaceae	4e-04
g__Dictyosporiaceae_gen_Incertae_sedis	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Dictyosporiaceae	4e-04
g__Emericellopsis	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Myrotheciomycetaceae	4e-04
g__Geosmithia	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Bionectriaceae	4e-04
g__Ilyonectria	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	4e-04
g__Kurtzmanomyces	k__Fungi	p__Basidiomycota	c__Agaricostilbomycetes	o__Agaricostilbales	f__Chionosphaeraceae	4e-04
g__Laboulbeniomycetes_gen_Incertae_sedis	k__Fungi	p__Ascomycota	c__Laboulbeniomycetes	o__Laboulbeniomycetes_ord_Incertae_sedis	f__Laboulbeniomycetes_fam_Incertae_sedis	4e-04
g__Lophiostoma	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Lophiostomataceae	4e-04
g__Microascaceae_gen_Incertae_sedis	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Microascales	f__Microascaceae	4e-04
g__Myceliophthora	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	4e-04
g__Neodacampia	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	4e-04
g__Olpidium	k__Fungi	p__Olpidiomycota	c__Olpidiomycetes	o__Olpidiales	f__Olpidiaceae	4e-04
g__Oryza	k__Viridiplantae	p__Anthophyta	c__Monocotyledonae	o__Poales	f__Poaceae	4e-04
g__Pleiocarpon	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	4e-04
g__Pseudoteratosphaeria	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Teratosphaeriaceae	4e-04
g__Stypella	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__Hyaloriaceae	4e-04
g__Violaceomyces	k__Fungi	p__Basidiomycota	c__Ustilaginomycetes	o__Violaceomycetales	f__Violaceomycetaceae	4e-04
g__Xenoteratosphaeria	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Teratosphaeriaceae	4e-04
g__Branch03_gen_Incertae_sedis	k__Fungi	p__Rozellomycota	c__Rozellomycotina_cls_Incertae_sedis	o__Branch03	f__Branch03_fam_Incertae_sedis	3e-04
g__Brunneofusispora	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Occultibambusaceae	3e-04
g__Caespitomonium	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Bionectriaceae	3e-04
g__Clypeosphaerella	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Mycosphaerellaceae	3e-04
g__Diatrype	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Diatrypaceae	3e-04
g__Endoconidiophora	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Microascales	f__Ceratocystidaceae	3e-04
g__Flavomyces	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Periconiaceae	3e-04
g__Fusariella	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Bionectriaceae	3e-04
g__Hoehnelomycetaceae_gen_Incertae_sedis	k__Fungi	p__Basidiomycota	c__Atractiellomycetes	o__Atractiellales	f__Hoehnelomycetaceae	3e-04
g__Kiflimonium	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	3e-04
g__Myrmaecium	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Valsariales	f__Valsariaceae	3e-04
g__Nemania	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Xylariaceae	3e-04
g__Paracylindrocarpon	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Bionectriaceae	3e-04
g__Phialemonium	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Cephalothecales	f__Cephalothecaceae	3e-04
g__Rhytidhysteron	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Hysteriales	f__Hysteriaceae	3e-04
g__Saccharomycopsis	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycopsidaceae	3e-04
g__Sporidesmium	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sporidesmiales	f__Sporidesmiaceae	3e-04
g__Stephanonectria	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Bionectriaceae	3e-04
g__Zygotorulaspora	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	3e-04
g__Alatospora	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Leotiales	f__Leotiales_fam_Incertae_sedis	2e-04
g__Alpinaria	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Melanommataceae	2e-04
g__Antherospora	k__Fungi	p__Basidiomycota	c__Ustilaginomycetes	o__Urocystidales	f__Floromycetaceae	2e-04
g__Anthostomelloides	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Xylariaceae	2e-04
g__Calloria	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Calloriaceae	2e-04
g__Campylocarpon	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	2e-04
g__Catenophlyctis	k__Fungi	p__Blastocladiomycota	c__Blastocladiomycetes	o__Blastocladiales	f__Catenariaceae	2e-04
g__Coprinellus	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	2e-04
g__Curcuma	k__Viridiplantae	p__Anthophyta	c__Monocotyledonae	o__Zingiberales	f__Zingiberaceae	2e-04
g__Debaryomyces	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	2e-04
g__Hasegawazyma	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Erythrobasidiales	f__Erythrobasidiales_fam_Incertae_sedis	2e-04
g__Heteroradulum	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__Auriculariaceae	2e-04
g__Komagataella	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	2e-04
g__Marquandomyces	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Clavicipitaceae	2e-04
g__Metschnikowia	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Metschnikowiaceae	2e-04
g__Monographella	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Amphisphaeriales	f__Hyponectriaceae	2e-04
g__Nectriella	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Bionectriaceae	2e-04
g__Nigrocephalum	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Plectosphaerellaceae	2e-04
g__Oidiodendron	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Myxotrichaceae	2e-04
g__Paraphoma	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	2e-04
g__Phomatodes	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	2e-04
g__Pleuroascaceae_gen_Incertae_sedis	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Pleuroascaceae	2e-04
g__Pseudodactylaria	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Pseudodactylariales	f__Pseudodactylariaceae	2e-04
g__Robbauera	k__Fungi	p__Basidiomycota	c__Exobasidiomycetes	o__Robbauerales	f__Robbaueraceae	2e-04
g__Septoriella	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	2e-04
g__Sirobasidium	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Tremellales_fam_Incertae_sedis	2e-04
g__Stolonocarpus	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	2e-04
