ASV	SRR12968645	SRR12968648	SRR12968651	SRR12968653	SRR12968659	SRR12968660	SRR12968662	SRR12968669	SRR12968673	SRR12968677	SRR12968682	SRR12968690	SRR12968691	SRR12968694	SRR12968696	SRR12968698	SRR12968701	SRR12968702	SRR12968706	SRR12968709	SRR12968710	SRR12968646	SRR12968647	SRR12968649	SRR12968650	SRR12968656	SRR12968658	SRR12968664	SRR12968666	SRR12968668	SRR12968670	SRR12968672	SRR12968674	SRR12968680	SRR12968683	SRR12968684	SRR12968687	SRR12968688	SRR12968689	SRR12968693	SRR12968697	SRR12968699	SRR12968700	SRR12968703	SRR12968704	SRR12968705	SRR12968707	SRR12968708	SRR12968652	SRR12968654	SRR12968655	SRR12968657	SRR12968661	SRR12968663	SRR12968665	SRR12968667	SRR12968671	SRR12968675	SRR12968676	SRR12968678	SRR12968679	SRR12968681	SRR12968685	SRR12968686	SRR12968692	SRR12968695
ASV0058	0	0	26	52	0	0	0	0	0	0	0	6	0	0	0	0	0	0	8	0	0	0	0	0	33	1	0	0	0	0	0	0	0	22	0	0	111	19	0	291	4	0	0	29	8	0	0	0	0	3	9	1132	577	0	0	0	0	0	0	0	0	0	0	8	0	0
ASV0059	0	0	2	12	3	18	0	85	0	0	0	7	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	3	137	20	14	0	0	48	0	0	0	2	27	0	1	416	1238	0	1	0	0	4	0	0	7	0	0	4	0	4
ASV0060	0	0	0	0	0	218	0	714	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	578	0	0	0	0	0	0	0	0	0	0	0	0	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0061	8	0	7	19	0	0	0	81	0	0	0	54	5	26	0	5	11	11	0	2	18	12	0	15	0	0	6	0	10	0	0	0	0	8	3	0	0	9	118	108	0	0	0	18	0	0	39	0	23	2	4	0	778	20	0	0	0	0	66	0	601	0	0	134	0	0
ASV0062	0	0	0	0	0	286	0	576	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	517	0	0	0	0	0	0	0	0	0	0	0	0	0	681	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0063	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1132	0	0	0	0	0	630	0	214	0	5	0	0	123	0	0	0	0	0	0
ASV0064	0	0	0	0	0	221	0	680	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413	0	0	0	0	0	0	0	0	0	0	0	0	0	662	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0065	0	0	8	0	0	29	0	0	0	2	0	8	0	9	0	0	0	0	21	4	0	0	0	6	26	7	0	0	0	0	0	0	0	0	0	0	23	23	3	469	0	3	0	79	3	0	0	0	13	0	0	1060	187	0	2	0	0	0	0	0	0	3	16	57	0	0
ASV0066	0	0	0	0	0	280	0	512	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455	0	0	0	0	0	0	0	0	0	0	0	0	0	598	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0067	3	0	7	7	1	24	19	46	0	0	0	59	6	1	0	10	0	5	10	2	0	0	0	0	63	1	0	0	4	8	0	15	0	1	0	2	44	22	175	50	3	4	0	73	0	0	0	1	62	0	14	296	853	0	0	0	0	50	0	0	5	7	8	29	6	3
ASV0068	65	28	0	0	4	11	19	0	3	0	15	0	14	726	0	42	0	3	0	0	0	0	0	13	18	0	72	0	5	0	0	31	0	0	0	12	0	0	118	42	0	2	0	125	0	0	0	8	35	4	19	350	0	0	5	0	0	2	28	0	35	26	64	4	0	10
ASV0069	0	0	58	25	0	66	106	0	0	0	0	0	0	0	0	0	59	0	0	0	0	45	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	756	0	0	0	68	309	221	0	0	0	43	0
ASV0070	0	0	17	0	0	0	0	0	0	0	0	45	0	0	0	2	1	2	2	0	0	0	0	0	16	20	0	0	11	0	0	113	0	2	0	4	46	6	6	245	0	3	0	184	1	0	4	0	23	0	5	889	163	0	6	0	0	11	0	0	0	17	5	24	0	5
ASV0071	26	209	0	0	0	0	0	0	0	0	109	0	0	0	0	334	16	0	0	301	54	48	0	0	0	0	0	0	0	0	0	6	0	89	6	0	19	0	0	0	0	0	0	0	0	119	90	0	0	10	0	0	0	0	63	0	0	0	0	0	0	367	0	0	0	0
ASV0072	3	0	0	29	0	0	0	0	0	0	0	27	0	6	0	0	0	0	0	11	0	0	0	0	26	35	0	0	0	0	0	0	0	0	0	0	7	23	28	301	0	0	0	27	6	0	0	5	0	0	2	1225	0	0	0	0	0	3	12	0	0	0	0	74	0	16
ASV0073	0	0	0	0	0	1820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0074	0	0	0	0	0	110	0	471	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477	0	0	0	0	0	0	0	0	0	0	0	0	0	644	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0075	2	8	0	2	0	11	10	0	0	0	0	19	15	164	0	244	0	145	0	7	0	0	0	0	3	0	37	0	572	0	0	127	0	0	0	15	0	11	0	0	0	4	0	110	0	0	6	26	21	0	0	8	0	0	0	0	0	51	2	0	2	165	0	8	8	0
ASV0076	0	0	7	0	0	0	10	0	0	0	0	34	2	5	0	0	0	0	0	0	0	0	0	9	73	13	0	0	3	0	0	52	0	3	0	7	30	0	10	111	0	0	0	150	8	0	0	3	5	1	4	574	563	0	0	0	0	33	16	0	2	7	0	23	0	0
ASV0077	11	0	10	34	2	719	0	63	0	0	0	11	0	0	5	7	0	0	13	0	0	14	0	0	5	4	0	0	0	7	0	0	5	0	1	0	16	32	436	8	0	0	0	12	50	36	2	0	152	2	3	14	26	0	0	0	0	0	0	0	0	0	0	48	4	0
ASV0078	0	0	0	0	0	223	0	449	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	0	0	0	0	0	0	0	0	0	0	0	0	0	620	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0079	31	38	22	71	0	17	14	90	0	0	51	21	0	45	0	2	7	0	0	16	67	11	0	23	24	12	0	0	0	61	0	10	0	6	9	20	22	44	51	44	0	0	0	32	30	68	26	0	72	9	16	212	49	0	19	0	0	0	40	0	47	5	199	31	0	3
ASV0080	0	4	13	46	0	49	0	10	0	0	0	96	8	3	0	0	0	0	0	5	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	2	11	729	0	0	0	0	0	4	0	0	0	552	0	14	29	0	0	0	0	0	4	5	0	24	0	38	0	0	0
ASV0081	22	0	4	71	0	25	60	0	0	2	12	38	4	674	0	32	0	0	6	1	0	0	0	38	4	0	70	0	7	0	0	75	0	2	0	0	13	1	58	0	0	0	0	142	0	0	0	14	64	0	8	21	42	0	0	0	0	30	6	0	7	38	50	6	0	4
ASV0082	0	0	0	67	0	870	0	25	0	0	20	209	5	0	4	75	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	86	0	7	41	0	0	0	0	0	0	43	0	51	31	0	1	2	0
ASV0083	0	0	0	157	0	0	0	0	0	0	0	827	9	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	14	0	0	0	4	0	0	0	0	0	0	5	0	0	0	133	3	0	8	0	8	0	5	421	0	0	0	0	0	13	0	0	0	3	0	0	8	0
ASV0084	0	0	2	12	0	28	0	0	0	0	0	2	0	15	0	0	4	0	4	0	0	0	0	0	73	0	0	0	0	0	0	671	0	0	3	0	4	18	78	15	0	0	0	106	0	0	0	0	6	0	0	228	343	0	0	0	0	0	0	0	0	3	0	9	0	0
ASV0085	10	3	21	6	3	70	0	0	0	0	0	95	27	51	0	1	18	14	0	2	12	1	0	93	59	0	17	0	9	0	0	7	0	9	0	7	19	49	236	74	0	1	0	46	0	0	7	0	124	0	45	116	29	1	0	0	0	1	8	4	2	4	238	22	0	14
ASV0086	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0
ASV0087	0	125	0	0	0	0	0	0	0	0	55	0	0	0	0	280	34	0	0	312	42	45	0	0	0	0	0	0	0	0	0	0	0	41	0	0	24	0	0	0	0	0	0	0	49	139	53	0	6	0	0	4	0	0	94	0	0	0	0	0	0	223	0	0	0	0
ASV0088	0	0	14	0	0	0	0	0	0	0	0	171	1	0	0	0	0	0	0	0	0	0	0	0	12	19	0	0	4	0	0	1	0	0	0	9	144	15	4	166	9	0	0	15	0	0	0	0	0	4	0	324	600	0	0	0	0	0	4	0	0	4	0	0	0	0
ASV0089	0	0	0	0	1	5	0	0	0	0	0	0	44	0	0	1	0	0	0	0	0	0	0	0	12	0	0	0	8	0	0	19	0	15	0	0	62	0	6	0	7	0	0	13	0	0	0	0	6	0	47	9	1231	0	0	0	0	0	0	0	4	3	0	3	5	0
