ASV	SRR12968645	SRR12968648	SRR12968651	SRR12968653	SRR12968659	SRR12968660	SRR12968662	SRR12968669	SRR12968673	SRR12968677	SRR12968682	SRR12968690	SRR12968691	SRR12968694	SRR12968696	SRR12968698	SRR12968701	SRR12968702	SRR12968706	SRR12968709	SRR12968710	SRR12968646	SRR12968647	SRR12968649	SRR12968650	SRR12968656	SRR12968658	SRR12968664	SRR12968666	SRR12968668	SRR12968670	SRR12968672	SRR12968674	SRR12968680	SRR12968683	SRR12968684	SRR12968687	SRR12968688	SRR12968689	SRR12968693	SRR12968697	SRR12968699	SRR12968700	SRR12968703	SRR12968704	SRR12968705	SRR12968707	SRR12968708	SRR12968652	SRR12968654	SRR12968655	SRR12968657	SRR12968661	SRR12968663	SRR12968665	SRR12968667	SRR12968671	SRR12968675	SRR12968676	SRR12968678	SRR12968679	SRR12968681	SRR12968685	SRR12968686	SRR12968692	SRR12968695
ASV0030	0	10	9	0	11	0	36	0	0	0	35	0	20	0	0	0	19	42	14	0	78	21	0	0	0	87	38	0	0	15	12	16	17	0	22	0	0	31	0	9	0	0	55	0	7	4	0	78	96	0	10	32	0	7	62	0	0	53	0	6	0	10	0	0	26	20
ASV0031	0	0	0	0	0	0	0	0	0	539	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	225	0	0	0	0	0	0
ASV0032	0	22	20	0	41	0	58	0	0	0	21	48	0	0	0	0	7	0	0	51	25	0	0	0	0	0	61	0	7	0	31	0	2	0	22	4	0	51	0	0	0	20	24	10	0	0	0	0	58	7	14	119	0	47	65	0	0	0	0	7	52	14	0	0	44	0
ASV0033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0
ASV0034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	286	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	149	315	0
ASV0035	0	4	15	0	0	0	179	0	0	14	51	6	11	0	0	0	17	0	70	0	0	33	0	0	4	0	0	0	0	0	24	0	4	0	12	0	0	0	0	13	16	9	0	0	0	8	4	0	26	7	8	0	0	0	11	0	0	0	52	0	0	0	235	0	8	27
ASV0036	31	3	5	0	3	0	44	0	0	15	38	23	16	0	52	5	7	11	24	17	9	10	0	0	3	16	41	0	8	6	6	6	5	10	0	0	28	0	0	0	9	18	22	0	6	0	5	23	4	0	14	0	0	5	15	0	0	13	12	0	32	0	188	9	0	16
ASV0037	0	0	0	0	0	0	0	0	0	0	0	3	11	0	0	0	4	4	0	0	0	0	0	0	0	38	0	0	20	0	0	0	0	2	0	0	35	0	0	15	0	0	0	0	0	0	0	44	0	0	24	212	0	0	0	0	0	176	0	0	26	5	0	12	148	11
ASV0038	69	0	7	40	6	0	62	0	0	0	38	18	0	0	27	1	13	0	0	16	0	34	0	0	0	30	0	0	15	9	6	0	0	6	0	0	0	8	0	0	0	0	0	11	0	6	11	39	0	0	0	36	0	12	15	2	0	0	0	6	90	0	129	0	10	9
ASV0039	733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	23	0
ASV0040	32	0	0	67	0	0	35	0	0	17	0	0	39	0	9	0	0	19	10	0	13	0	0	0	0	47	10	0	15	13	12	0	8	0	30	0	17	0	0	0	20	0	0	21	40	0	0	25	0	0	0	91	0	0	0	0	0	0	80	0	0	0	83	0	0	0
ASV0041	0	0	17	27	0	0	0	0	0	12	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	7	0	0	57	0	0	0	0	0	0	0	18	0	28	0	0
ASV0042	81	24	0	19	0	0	100	0	0	12	20	0	0	0	14	8	4	18	64	0	20	12	0	1	0	0	19	0	13	11	9	0	4	8	0	4	0	0	0	10	8	8	14	5	11	0	19	19	0	0	7	15	0	6	22	5	0	35	16	13	0	7	0	0	8	0
ASV0043	0	0	29	82	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ASV0044	0	13	0	0	6	0	37	0	0	0	0	0	0	0	0	0	0	14	92	0	0	7	0	0	0	53	8	0	0	0	0	0	0	0	0	0	13	0	0	20	12	28	24	0	34	0	0	25	40	11	6	18	0	0	0	0	0	6	14	19	77	12	0	11	0	0
