ASV	SRR11426356	SRR11426357	SRR11426369	SRR11426371	SRR11426372	SRR11426373	SRR11426374	SRR11426377	SRR11426379	SRR11426383	SRR11426384	SRR11426385	SRR11426387	SRR11426388	SRR11426391	SRR11426394	SRR11426399	SRR11426402	SRR11426403	SRR11426404	SRR11426407	SRR11426354	SRR11426410	SRR11426412	SRR11426355	SRR11426358	SRR11426359	SRR11426360	SRR11426362	SRR11426363	SRR11426364	SRR11426366	SRR11426367	SRR11426368	SRR11426375	SRR11426380	SRR11426381	SRR11426382	SRR11426392	SRR11426395	SRR11426401	SRR11426405	SRR11426408	SRR11426409	SRR11426413	SRR11426361	SRR11426365	SRR11426370	SRR11426376	SRR11426378	SRR11426386	SRR11426389	SRR11426390	SRR11426393	SRR11426396	SRR11426397	SRR11426398	SRR11426400	SRR11426406	SRR11426411
ASV0035	0	0	22	61	17	25	0	0	13	162	17	32	18	4	0	0	0	4	0	19	67	6	51	8	0	13	12	46	0	0	329	136	15	1	51	0	0	9	24	0	106	11	66	0	31	0	0	0	0	0	0	9	0	0	10	0	0	0	0	3
ASV0036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1297	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0037	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1161	0	0	42	0	0	0	0	0	0	8	0	0	27	0	0	0	0	0	0	16	0	0	0	58	0	0	13	0
ASV0038	0	0	18	27	0	13	18	0	0	36	0	6	38	6	0	13	0	25	0	0	65	0	8	11	10	0	12	8	7	6	533	0	44	9	20	0	0	30	9	0	0	0	129	0	69	25	5	6	35	7	0	0	16	0	70	4	0	0	0	1
ASV0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0040	9	0	0	57	0	0	11	0	0	32	38	11	35	12	91	0	0	16	16	19	181	20	31	0	26	0	12	6	17	16	100	0	105	20	0	10	10	87	0	18	14	44	0	0	0	0	60	0	0	9	0	0	0	5	44	22	0	0	90	0
ASV0041	0	0	17	0	482	0	6	1	0	4	5	0	0	0	10	12	0	0	66	14	0	0	0	0	0	0	0	0	0	0	2	494	44	3	1	0	0	9	0	0	0	0	0	16	0	14	0	4	0	0	0	0	0	3	0	19	18	27	0	0
ASV0042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0043	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1068	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	41	33	0	0	0
ASV0044	0	0	0	20	21	0	0	5	0	59	0	0	0	0	0	0	0	0	0	0	38	0	23	0	0	0	0	18	0	0	232	128	0	0	0	33	0	0	351	0	27	0	0	0	14	85	50	15	0	0	0	0	0	0	32	0	0	0	0	0
ASV0045	0	0	21	0	7	0	0	0	20	91	10	0	0	12	36	6	23	0	0	0	33	39	0	0	0	17	0	6	5	2	396	0	0	0	42	0	0	47	0	12	10	22	83	0	32	9	11	0	0	0	0	0	0	0	0	5	27	17	27	0
ASV0046	0	0	15	0	6	9	0	3	9	0	41	3	38	6	6	0	3	18	5	28	80	16	0	5	0	15	4	0	6	10	90	53	12	16	44	0	14	16	12	0	24	0	188	9	31	0	0	10	33	5	0	23	17	0	32	0	52	28	17	5
ASV0047	36	0	10	29	46	19	8	6	23	0	0	3	17	8	13	0	0	17	0	20	83	5	0	10	0	0	12	0	5	0	318	0	0	0	0	0	0	0	40	29	0	9	59	0	0	0	0	18	39	0	0	0	85	0	16	34	31	0	0	0
ASV0048	15	0	0	12	0	0	0	0	4	49	0	0	0	17	26	6	0	43	0	13	0	19	10	14	4	12	0	0	0	0	372	78	0	5	26	0	0	25	0	7	43	0	56	19	49	0	0	3	25	10	0	0	0	0	21	0	0	0	60	3
ASV0049	21	0	17	0	0	17	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	15	687	0	0	0	71	0	0	0	0	0	0	15	0	0	12	30	0	0	39	4	0	0	13	0	0	16	0	19	17	0
ASV0050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0051	7	0	0	0	3	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	159	0	0	15	12	4	0	3	11	82	375	9	0	107	0	6	0	12	0	11	0	0	6	0	0	45	0	0	2	0	16	0	2	8	0	3	9	44	0
ASV0052	0	0	29	0	4	0	0	0	0	0	0	0	0	0	0	0	24	0	7	0	0	0	0	0	73	0	0	0	0	0	0	0	342	0	0	0	0	15	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	442	0	0	0
ASV0053	0	0	0	0	300	0	0	0	0	0	0	0	0	50	0	0	0	0	253	0	0	173	0	0	0	0	0	0	6	0	39	0	19	0	2	0	89	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
ASV0054	5	0	0	0	0	0	0	4	0	0	0	0	0	0	16	0	0	0	0	0	0	140	0	0	3	9	0	0	0	0	75	291	13	6	158	26	0	5	0	0	15	1	0	0	0	0	65	0	0	0	0	21	11	0	0	0	9	0	57	8
ASV0055	0	0	0	28	0	9	0	0	8	0	11	0	26	0	0	0	3	8	0	17	22	0	34	18	20	15	9	7	0	7	408	79	0	11	0	17	0	18	5	0	12	6	24	7	5	6	0	0	0	0	0	14	18	0	0	6	12	0	23	4
ASV0056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	728	41	0	0	45	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0
ASV0058	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	264	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0059	11	0	0	16	0	0	3	0	0	35	0	0	25	0	11	9	6	0	4	7	74	0	20	0	0	0	0	8	0	0	180	67	0	0	49	0	15	26	18	18	0	3	109	0	22	0	3	0	19	5	0	13	0	5	9	0	0	8	24	0
ASV0060	0	0	0	52	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	30	34	14	0	0	20	189	0	15	0	27	0	0	59	22	0	15	22	0	20	0	0	22	2	0	0	0	12	0	0	0	23	0	25	78	0
ASV0061	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	10	0	14	0	0	0	5	0	0	0	0	8	733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	712	9	0	0	5	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	12	0
ASV0063	0	0	25	0	12	2	1	0	0	8	127	0	0	0	0	0	13	0	6	30	0	0	0	0	12	0	0	0	0	0	0	397	0	0	0	5	0	0	0	0	36	7	0	12	0	0	1	0	0	0	0	0	0	0	16	12	0	0	19	0
ASV0064	10	0	0	5	15	0	14	0	8	15	19	0	20	9	23	8	0	0	6	18	0	0	0	19	8	12	12	19	7	0	79	0	27	0	19	7	7	0	0	0	64	12	0	0	81	0	16	8	30	0	0	9	0	0	43	15	9	0	47	8
ASV0065	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	2	686	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0066	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0
