ASV	ERR2662893	ERR2662898	ERR2662910	ERR2662911	ERR2662912	ERR2662913	ERR2662914	ERR2662916	ERR2662921	ERR2662925	ERR2662927	ERR2662930	ERR2662932	ERR2662933	ERR2662936	ERR2662937	ERR2662939	ERR2662941	ERR2662945	ERR2662895	ERR2662896	ERR2662897	ERR2662899	ERR2662901	ERR2662902	ERR2662904	ERR2662905	ERR2662906	ERR2662908	ERR2662922	ERR2662924	ERR2662929	ERR2662938	ERR2662940	ERR2662942	ERR2662943	ERR2662944	ERR2662894	ERR2662900	ERR2662903	ERR2662907	ERR2662909	ERR2662915	ERR2662917	ERR2662918	ERR2662919	ERR2662920	ERR2662923	ERR2662926	ERR2662928	ERR2662931	ERR2662934	ERR2662935
ASV0503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	962	1324	0	1	0	0	0	0	8	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0504	0	38	0	2	0	46	0	0	39	0	59	172	68	87	0	0	4	138	158	0	134	122	32	6	2	4	132	295	65	0	0	88	17	73	37	103	8	2	0	0	130	18	0	6	22	20	24	0	0	91	101	7	0
ASV0505	0	0	5	0	0	0	0	0	0	0	0	0	242	342	0	0	0	33	0	0	30	159	0	0	371	23	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	1046	0	0
ASV0506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0507	0	0	46	0	0	171	110	0	0	0	0	277	118	61	0	0	0	0	0	0	0	177	0	0	106	0	0	0	60	239	0	0	0	0	0	0	150	0	0	43	0	158	0	0	0	274	133	0	65	0	143	0	0
ASV0508	503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0509	208	352	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	13	494	830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0	0	0	0	0	10	34	0	0	0	0	0	0	0	0
ASV0510	9	48	15	107	133	120	28	13	0	16	57	88	18	0	0	45	0	0	14	0	221	195	76	77	29	7	105	21	0	14	31	122	27	14	0	0	10	10	43	74	184	8	20	11	28	73	20	17	98	30	19	0	23
ASV0511	242	0	0	117	139	35	0	0	0	0	0	453	0	0	0	0	0	0	37	34	0	0	0	0	0	0	0	0	0	412	190	11	0	14	0	57	74	341	0	0	0	0	0	0	0	0	0	116	0	45	0	0	0
ASV0512	0	0	0	0	0	0	16	939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	15	489	832	0	0	0	0	0	0	0	0
ASV0513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	98	1644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	226	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0514	0	20	116	0	0	1	0	0	931	0	0	0	74	28	0	0	0	62	0	0	70	2	0	0	0	0	169	321	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	96	259	0	0	0	99	0	0
ASV0515	104	2	44	80	58	87	159	22	18	10	40	98	12	34	35	30	31	92	50	39	52	55	59	66	45	5	0	0	47	63	104	0	26	40	29	48	50	14	48	39	0	106	82	16	10	50	33	24	9	8	53	24	33
ASV0516	0	0	0	5	0	0	0	0	0	0	0	0	0	411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0517	48	0	87	272	0	0	38	0	0	0	0	72	58	59	0	0	0	0	0	133	0	0	0	0	0	0	253	139	74	0	180	0	0	0	0	0	0	0	0	0	182	143	49	0	103	105	173	0	0	43	65	0	0
ASV0518	0	0	654	565	129	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	750	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	18	0	12	0	0	0	0	0	0
ASV0519	93	196	0	0	0	6	513	0	46	32	67	0	0	17	41	0	0	0	35	0	181	277	11	42	0	217	0	8	0	0	0	0	0	0	13	68	44	0	20	32	92	3	84	0	0	40	0	0	0	0	36	19	11
ASV0520	0	0	0	2236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0522	1297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0523	575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0524	14	0	12	530	443	115	51	71	0	0	0	15	125	169	0	0	0	1	4	5	0	0	0	0	58	0	0	0	9	76	53	0	0	9	0	50	33	28	0	0	0	18	29	81	70	0	0	15	0	7	135	3	0
ASV0525	0	0	0	0	0	0	80	74	0	0	0	0	146	818	0	0	0	0	0	0	0	0	0	7	104	13	0	0	0	217	234	0	0	0	0	0	0	0	0	2	0	0	61	50	75	27	18	61	0	0	242	0	0
ASV0526	152	0	0	50	94	27	28	78	13	0	0	0	117	265	17	45	10	0	0	16	6	46	33	50	100	17	0	0	0	134	255	0	23	44	0	53	0	0	53	126	0	18	72	13	27	21	14	0	0	0	209	0	0
ASV0527	29	0	0	0	0	0	0	0	143	0	0	0	8	0	0	0	0	619	0	0	0	0	4	0	0	0	8	0	0	0	0	0	4	157	107	0	9	0	0	0	0	0	0	0	0	542	585	0	0	0	0	0	0
ASV0528	0	0	0	0	0	0	0	0	0	430	0	351	0	0	0	282	82	0	522	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	125	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0529	15	0	0	34	22	9	18	18	7	2	0	122	0	76	0	0	0	0	0	3	29	70	53	72	583	37	0	0	0	42	34	0	0	54	0	17	8	0	30	813	0	0	9	0	3	0	0	11	7	0	0	0	0
ASV0530	0	0	0	0	0	0	0	0	0	0	0	0	66	50	0	0	0	459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1185	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
ASV0531	34	0	0	0	0	0	26	14	2	0	0	4	278	427	0	28	0	8	0	0	4	0	28	20	243	53	0	0	0	123	130	0	12	16	4	3	38	24	11	48	0	5	83	0	15	27	32	32	0	0	410	0	0
ASV0532	0	0	0	832	1327	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	746	0	0	0	25	0	0	0	0	0	0	0	0	0	0	16	153	0	0	0	0	78	70	0	0	0	0	0	36	0	0	0	0	9	0	0	0	350	687
ASV0534	0	0	0	0	2	0	0	0	0	0	29	499	0	0	0	650	0	0	0	0	37	77	11	100	0	64	0	0	0	0	227	18	178	9	0	0	0	0	0	85	0	0	0	0	0	22	54	0	27	65	0	6	6
ASV0535	6	0	0	43	2	0	6	129	19	0	0	0	0	0	0	0	0	945	205	0	0	0	6	5	0	0	0	0	0	30	0	0	0	90	46	99	70	6	19	0	0	0	12	56	71	107	162	5	0	0	26	0	0
ASV0536	5	0	0	0	0	0	204	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	16	12	814	0	504	119	0	4	3	0	0	0	0	0	0	0	32	162	171	0	13	0	0	0	0	5	0	11	58	0	0
