ASV	SRR11604871	SRR11604872	SRR11604873	SRR11604876	SRR11604877	SRR11604879	SRR11604884	SRR11604886	SRR11604887	SRR11604890	SRR11604892	SRR11604904	SRR11604905	SRR11604908	SRR11604870	SRR11604874	SRR11604878	SRR11604882	SRR11604888	SRR11604889	SRR11604891	SRR11604894	SRR11604895	SRR11604896	SRR11604900	SRR11604902	SRR11604906	SRR11604907	SRR11604910	SRR11604911	SRR11604875	SRR11604880	SRR11604881	SRR11604883	SRR11604885	SRR11604893	SRR11604897	SRR11604898	SRR11604899	SRR11604901	SRR11604903	SRR11604909
ASV0058	0	612	1264	0	75	86	82	504	13	0	168	0	13	69	12	511	148	97	73	322	219	33	75	290	182	117	18	0	67	579	0	123	48	73	87	33	19	123	12	5	30	9
ASV0059	409	0	0	17	0	0	0	0	0	1279	0	0	0	0	0	0	0	74	111	421	0	0	0	1061	0	0	0	0	103	296	0	0	204	0	0	588	0	347	0	949	0	316
ASV0060	0	0	1191	43	0	0	0	201	39	228	1016	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	9	3	0	0	2846	0	0	42	0	0	5	0	167	0	0	0
ASV0061	0	0	547	0	34	204	0	349	46	0	11	21	0	54	21	0	0	0	206	0	0	28	0	0	46	0	0	505	0	1010	0	28	0	0	2558	171	0	0	67	0	34	0
ASV0062	0	299	0	53	0	0	0	102	0	591	768	0	0	0	0	0	0	0	0	1463	0	144	107	501	0	0	0	0	0	0	1113	0	0	0	0	0	0	251	191	0	7	0
ASV0063	0	212	436	0	108	30	170	1041	26	0	71	3	0	77	0	182	43	196	32	720	89	0	156	753	124	99	0	0	80	216	0	37	39	51	123	0	12	313	15	0	54	0
ASV0064	0	33	0	0	0	0	43	577	52	0	78	10	202	0	0	0	11	187	20	0	0	78	379	50	359	0	0	0	3	2419	0	77	0	91	180	0	196	82	0	37	0	0
ASV0065	0	0	0	45	0	0	234	0	0	0	1063	0	0	0	0	0	0	0	0	0	0	106	0	0	0	12	0	0	0	0	2861	123	0	0	0	512	0	0	183	0	1	0
ASV0066	14	0	0	70	0	0	11	0	0	213	809	0	69	0	0	0	0	0	38	0	0	219	279	0	0	0	0	0	0	0	3211	0	0	0	0	0	0	0	154	0	0	0
ASV0067	0	0	0	62	9	0	0	0	0	361	853	0	0	0	0	0	0	0	34	272	203	107	0	841	0	0	642	0	0	0	1340	0	0	0	0	0	19	0	73	0	0	0
ASV0068	0	0	0	0	212	302	0	0	0	337	0	0	0	0	205	0	0	0	3517	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	16	144
