ASV	ERR12050113	ERR12050114	ERR12050115	ERR12050116	ERR12050119	ERR12050128	ERR12050131	ERR12050137	ERR12050138	ERR12050140	ERR12050143	ERR12050146	ERR12050147	ERR12050150	ERR12050152	ERR12050153	ERR12050154	ERR12050158	ERR12050161	ERR12050164	ERR12050166	ERR12050179	ERR12050181	ERR12050184	ERR12050186	ERR12050194	ERR12050196	ERR12050197	ERR12050198	ERR12050199	ERR12050200	ERR12050201	ERR12050208	ERR12050211	ERR12050213	ERR12050216	ERR12050218	ERR12050220	ERR12050112	ERR12050120	ERR12050121	ERR12050122	ERR12050125	ERR12050126	ERR12050129	ERR12050132	ERR12050136	ERR12050142	ERR12050144	ERR12050145	ERR12050148	ERR12050155	ERR12050159	ERR12050162	ERR12050167	ERR12050168	ERR12050169	ERR12050170	ERR12050171	ERR12050175	ERR12050176	ERR12050177	ERR12050180	ERR12050183	ERR12050189	ERR12050193	ERR12050204	ERR12050205	ERR12050207	ERR12050210	ERR12050212	ERR12050222	ERR12050117	ERR12050118	ERR12050123	ERR12050124	ERR12050127	ERR12050130	ERR12050133	ERR12050134	ERR12050135	ERR12050139	ERR12050141	ERR12050149	ERR12050151	ERR12050156	ERR12050157	ERR12050160	ERR12050163	ERR12050165	ERR12050172	ERR12050173	ERR12050174	ERR12050178	ERR12050182	ERR12050185	ERR12050187	ERR12050188	ERR12050190	ERR12050191	ERR12050192	ERR12050195	ERR12050202	ERR12050203	ERR12050206	ERR12050209	ERR12050214	ERR12050215	ERR12050217	ERR12050219	ERR12050221
ASV0021	103	2	0	0	54	112	0	0	0	194	239	53	13	18	0	22	0	22	0	0	1796	17	123	0	7	0	0	0	0	0	0	0	0	7	32	0	0	0	32	0	2	0	0	0	0	28	0	64	0	0	21	0	0	20	1073	34	4	1	0	28	26	19	0	0	0	83	15	231	86	0	45	0	0	0	223	0	0	0	5	59	17	0	26	0	0	14	54	0	74	37	0	14	32	44	0	0	32	0	0	26	26	58	0	0	0	62	0	113	0	0	0
ASV0022	0	0	0	27	111	112	0	21	10	116	107	0	0	29	0	0	84	4	44	48	22	0	2	8	7	27	1	0	23	0	0	2	648	1	29	0	52	0	0	47	4	1	6	94	103	29	56	46	132	63	113	0	0	18	6	0	0	0	0	10	75	110	0	90	40	12	71	426	92	3	20	59	36	0	194	220	26	29	40	52	0	0	0	38	2	0	0	441	0	14	0	0	0	20	39	5	0	0	41	13	13	0	245	0	0	0	0	166	71	167	0
ASV0023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	2	0	0	0	0	0	0	0	21	0	0	4532	0	0	0
ASV0024	2084	0	0	0	0	0	634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	479	0	0	0	0	0	2	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175
ASV0025	39	0	0	0	0	0	0	61	0	0	146	0	0	0	0	0	0	0	0	0	21	0	176	45	42	24	0	0	0	67	0	0	0	56	0	0	0	0	13	0	0	0	0	213	0	0	55	142	63	217	0	0	42	0	0	185	80	0	31	0	0	0	60	216	35	147	0	0	0	0	196	0	0	17	0	0	448	0	43	0	0	0	0	0	0	0	0	0	0	0	0	62	111	0	0	249	41	0	0	0	0	0	0	0	348	0	0	47	14	0	0
ASV0026	80	0	0	311	0	0	36	0	25	0	0	0	0	99	0	0	0	0	0	0	0	0	81	38	3	46	0	0	0	3	0	0	0	0	0	0	346	0	16	0	0	0	95	47	0	0	0	69	0	11	0	32	0	0	0	24	199	9	74	9	0	49	252	68	0	4	0	0	0	0	0	0	769	0	2	1	0	0	0	99	0	15	0	0	0	5	0	0	0	0	0	130	0	3	359	0	12	0	97	0	0	5	0	0	0	36	45	0	0	0	77
ASV0027	0	53	24	29	294	0	0	0	17	41	74	5	0	0	35	22	150	2	0	76	8	0	42	25	0	7	249	0	5	0	0	0	0	0	0	0	0	0	26	95	342	227	0	88	121	25	62	0	0	0	33	18	35	1	6	38	0	27	9	16	6	0	106	11	26	9	0	0	0	0	0	0	25	46	0	68	0	95	0	127	43	16	0	0	42	7	0	119	38	38	107	36	7	0	190	60	81	0	0	21	21	7	0	0	0	0	0	0	0	0	0
ASV0028	0	0	0	0	0	287	0	0	0	0	0	0	0	139	12	16	148	0	0	0	0	0	0	0	8	0	0	0	0	0	49	0	184	0	0	84	68	181	0	0	0	0	0	0	0	85	0	0	45	0	31	218	0	0	0	1	0	23	0	0	10	62	0	0	0	0	0	1	151	206	99	368	0	0	0	0	0	43	0	0	0	0	0	40	0	0	0	0	0	0	0	50	0	18	0	43	0	268	140	0	0	0	0	0	6	1	0	0	79	490	0
ASV0029	193	0	0	0	5	0	145	0	121	170	14	18	87	0	77	26	0	91	0	6	0	0	84	0	0	35	0	0	70	4	0	0	0	0	0	260	32	0	348	0	0	0	0	0	0	0	88	0	21	28	89	0	0	93	0	46	70	0	0	9	66	0	0	45	0	0	0	0	0	0	0	0	0	0	414	0	0	71	0	0	23	74	30	9	0	23	0	0	15	77	0	0	5	0	0	0	91	4	0	0	0	22	41	166	21	0	0	0	0	0	0
ASV0030	110	37	66	0	0	0	0	63	0	88	0	0	40	0	86	0	60	51	0	78	314	22	102	15	0	0	0	0	0	5	0	0	0	0	130	0	0	0	52	0	0	112	0	201	0	0	46	124	238	91	0	0	0	26	375	34	14	0	0	22	38	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	133	0	0	0	0	13	0	33	32	40	28	0	0	38	0	31	17	15	0	0	0	0	0	0	0	0	0	0	0	0	0	45	28	0	0
