ASV	SRR14277122	SRR14277130	SRR14277133	SRR14277136	SRR14277138	SRR14277139	SRR14277140	SRR14277146	SRR14277147	SRR14277148	SRR14277149	SRR14277158	SRR14277162	SRR14277165	SRR14277166	SRR14277167	SRR14277181	SRR14277182	SRR14277190	SRR14277196	SRR14277197	SRR14277198	SRR14277203	SRR14277209	SRR14277211	SRR14277212	SRR14277214	SRR14277217	SRR14277118	SRR14277119	SRR14277120	SRR14277121	SRR14277124	SRR14277126	SRR14277127	SRR14277128	SRR14277134	SRR14277135	SRR14277137	SRR14277141	SRR14277143	SRR14277145	SRR14277150	SRR14277153	SRR14277154	SRR14277156	SRR14277160	SRR14277170	SRR14277171	SRR14277172	SRR14277173	SRR14277174	SRR14277180	SRR14277187	SRR14277188	SRR14277189	SRR14277191	SRR14277194	SRR14277202	SRR14277204	SRR14277206	SRR14277207	SRR14277210	SRR14277213	SRR14277215	SRR14277216	SRR14277123	SRR14277125	SRR14277129	SRR14277131	SRR14277132	SRR14277142	SRR14277144	SRR14277151	SRR14277152	SRR14277155	SRR14277157	SRR14277159	SRR14277161	SRR14277163	SRR14277164	SRR14277168	SRR14277169	SRR14277175	SRR14277176	SRR14277177	SRR14277178	SRR14277179	SRR14277183	SRR14277184	SRR14277185	SRR14277186	SRR14277192	SRR14277193	SRR14277195	SRR14277199	SRR14277200	SRR14277201	SRR14277205	SRR14277208	SRR14277218	SRR14277219
ASV0021	256	0	19	47	77	0	151	4	0	0	0	0	10	0	12	65	68	15	586	91	146	3	0	0	0	14	29	16	39	51	410	284	8	354	225	64	30	0	0	72	135	110	0	21	2	25	0	88	52	31	179	158	172	0	436	609	608	0	108	0	2	0	20	27	23	4	112	24	3	37	392	529	297	7	86	22	15	17	0	15	7	0	0	156	64	4443	1978	2339	0	352	109	209	6	142	257	0	21	8	13	24	57	0
ASV0022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	25	16178	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	805	0	0	0	0	0	0	0	0	0	0	0	0	6	0	16	0	0	4	0	0	0	0	0	0	0	0	7	0	0	0	0	0	18	0	0	0	0	0	113
ASV0023	64	8	0	252	47	0	56	0	0	0	0	35	0	16	174	0	6	10	41	2504	714	130	7	41	31	26	3	0	1834	629	268	353	13	194	763	166	26	103	15	640	7	11	0	7	11	9	14	66	68	37	0	37	21	35	31	127	62	16	5	2	0	5	102	18	0	0	72	22	0	17	24	65	35	0	0	0	0	20	70	9	44	8	0	257	205	36	27	9	25	143	40	122	37	57	1262	69	35	13	701	20	23	0
ASV0024	85	8	20	1174	15	0	19	5	0	0	39	33	11	11	42	0	7	46	19	101	33	0	0	65	68	55	0	0	170	273	350	242	2668	14	355	0	147	136	25	644	2	60	16	1	8	15	30	192	403	0	0	12	42	274	19	50	40	0	10	17	21	0	179	8	28	40	85	383	3	61	151	110	217	2	13	15	28	51	0	0	133	76	0	275	265	107	422	43	0	226	539	117	0	12	67	297	115	4	589	55	18	0
ASV0025	29	0	7	0	47	0	81	0	0	0	0	0	0	0	0	0	133	79	0	48	25	13	69	0	0	0	0	0	21	8	16	33	0	18	50	0	0	0	0	0	0	0	9	0	0	3	0	17	0	0	0	6	14	0	237	400	0	0	0	5	0	0	23	0	0	0	15	7	0	4	12	0	0	0	0	0	0	0	0	0	0	0	0	67	25	4894	5767	30	73	15	119	109	0	20	47	0	22	33	2	0	0	0
ASV0026	467	0	10	52	8	16	138	0	0	0	0	0	19	8	118	63	2	0	540	36	0	0	279	0	0	0	17	0	98	22	1680	922	14	560	792	0	80	7	6	48	13	425	0	0	0	6	0	58	80	0	118	231	13	1	5	174	683	0	426	26	0	0	63	25	14	13	155	11	0	18	4	0	445	42	145	16	16	27	4	25	0	0	28	548	514	4	9	26	29	227	267	50	0	87	38	394	717	183	32	32	5	0
ASV0027	55	0	4	16	26	0	2	11	0	0	0	97	0	0	25	0	0	17	3	0	0	6	540	243	1	738	615	2	454	279	33	33	63	6	25	7	0	4	10	0	0	20	149	8	32	32	257	141	150	9	0	0	16	9	12	76	0	30	49	1511	1254	84	341	33	624	130	60	199	8	5	29	64	77	0	40	49	3	100	430	113	0	288	63	6	6	57	92	37	307	49	49	7	0	0	0	15	56	825	284	548	0	0
ASV0028	162	2	0	0	2	0	33	0	0	0	0	0	0	22	164	0	0	0	75	18	0	0	198	0	0	0	0	0	34	15	2196	2032	11	2272	3079	73	49	0	8	1	0	0	0	0	6	0	7	30	22	0	0	116	0	0	0	5	56	7	0	8	0	0	9	10	19	14	67	10	12	33	38	0	0	0	11	0	59	12	0	0	0	8	0	19	0	0	0	0	148	39	90	0	3	17	0	22	0	215	0	0	0	0
ASV0029	73	6	48	0	63	37	100	0	0	63	47	0	57	0	629	0	3	173	0	17	40	0	401	0	0	148	0	0	40	0	97	35	99	39	60	258	145	0	12	0	38	47	0	12	95	284	114	476	513	0	5	0	34	13	0	27	7	24	0	291	242	154	164	0	1309	700	32	221	59	9	20	414	43	19	13	166	31	70	0	142	43	10	15	16	0	0	7	0	308	0	114	0	0	0	84	811	199	604	0	0	0	0
ASV0030	86	19	65	0	21	13	172	0	0	0	0	7	110	0	743	35	0	0	28	0	62	0	698	0	0	176	0	0	27	21	95	29	100	36	76	686	219	0	20	0	102	40	0	30	124	0	77	54	13	24	0	0	40	0	0	17	0	75	0	471	211	179	275	0	845	123	37	271	50	45	42	539	0	0	0	0	0	48	0	191	25	0	5	12	33	0	0	20	224	6	203	0	7	0	62	1268	235	614	0	0	0	0
